LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2816,2816,0,0.3470672369003296,1758.4055196930408,624.1874378554185,0.0,81.0,81,8.0,1,,4.963800904977376,2.0,0.0,28.0,1097.0,6.712847386385922,0.7822439009714067,0.6491015172388415
ID3076,3076,0,0.427545964717865,1979.213654711108,747.8130597372208,0.0,110.0,110,8.0,1,,5.484162895927602,1.0,0.0,34.0,1212.0,8.247091655447047,0.8539284466560284,0.6125873631049936
ID2565,2565,0,0.38794299960136414,1914.1356343723135,868.3357114198775,0.0,61.0,61,8.0,1,,5.153846153846154,2.0,0.0,30.0,1139.0,6.964445168388975,0.8346468338650721,0.6733257090300838
ID3333,3333,0,0.4204219579696655,1861.5395587527232,718.2388492212493,0.0,129.0,129,8.0,1,,5.5610859728506785,2.0,0.0,36.0,1229.0,7.593784940620407,0.8736541210100047,0.6829382203213907
ID2826,2826,0,0.4357069432735443,1863.5599927532974,597.8406853669956,0.0,90.0,90,8.0,1,,6.036199095022624,3.0,0.0,34.0,1334.0,7.288131824236835,0.7255957217030943,0.6965190359114157
ID2317,2317,0,0.37700724601745605,1894.616510593457,754.2286309105364,0.0,47.0,47,8.0,1,,5.262443438914027,2.0,0.0,30.0,1163.0,7.238400840637452,0.8071044567109635,0.649413475067834
ID2573,2573,0,0.40365070104599,1884.4369924751286,854.6312709226448,0.0,53.0,53,8.0,1,,5.3710407239819,1.0,0.0,33.0,1187.0,7.762255606058623,0.8383703671836348,0.631107599437467
ID3087,3087,0,0.4197246730327606,1971.8907958417967,716.9414088497865,0.0,107.0,107,8.0,1,,5.298642533936651,2.0,0.0,30.0,1171.0,7.128141920572218,0.8857620008548964,0.6983102939140244
ID3346,3346,0,0.36990270018577576,1892.094029589095,692.329583554161,0.0,135.0,135,8.0,1,,4.728506787330317,2.0,0.0,26.0,1045.0,6.519798660876177,0.7939153747523022,0.6419365272584441
ID2836,2836,0,0.4235849380493164,1792.8497284958744,604.0892920860047,0.0,87.0,87,8.0,1,,5.6289592760181,2.0,0.0,30.0,1244.0,7.598317595073712,0.856472685316328,0.6835426429398322
ID2325,2325,0,0.3920411467552185,1785.2282158534588,754.5801742747435,0.0,42.0,42,8.0,1,,5.457013574660634,3.0,0.0,30.0,1206.0,6.810033249471388,0.7587751625175966,0.6914146542386804
ID2586,2586,0,0.34707677364349365,1889.9048845409566,916.033069902521,0.0,58.0,58,8.0,1,,4.832579185520362,1.0,0.0,27.0,1068.0,6.690157434573792,0.7709607213182713,0.6289208029359944
ID3099,3099,0,0.43017488718032837,1936.4501307628934,667.4357861129117,0.0,102.0,102,8.0,1,,5.981900452488688,2.0,0.0,35.0,1322.0,7.929211700417972,0.7646400861869189,0.6537927277238141
ID2590,2590,0,0.4106506109237671,1947.8439143057174,804.5089217961475,0.0,64.0,64,8.0,1,,5.5565610859728505,2.0,0.0,32.0,1228.0,7.373337404713795,0.8095310647035883,0.6742787247989712
ID2846,2846,0,0.43918049335479736,1840.1083413569095,598.4734797352643,0.0,89.0,89,8.0,1,,6.271493212669683,3.0,0.0,34.0,1386.0,7.797933994229678,0.8693630501658876,0.7480470611892694
ID2847,2847,0,0.38627809286117554,1739.498614614844,621.1626688552751,0.0,82.0,82,8.0,1,,5.3076923076923075,2.0,0.0,32.0,1173.0,7.695062443800314,0.7837352641972355,0.6061255283160928
ID3359,3359,0,0.3883807361125946,1871.7787363566558,672.0393371050319,0.0,133.0,133,8.0,1,,5.366515837104072,2.0,0.0,29.0,1186.0,7.676798639464527,0.7826478256432142,0.6138229059735291
ID2080,2080,0,0.34890949726104736,1838.5394393209142,956.150605928471,0.0,18.0,18,8.0,1,,4.660633484162896,1.0,0.0,25.0,1030.0,6.4531695916574145,0.8353129455502379,0.6574170331900535
ID2336,2336,0,0.347145676612854,1801.39478490618,844.5605583539943,0.0,24.0,24,8.0,1,,4.8099547511312215,2.0,0.0,27.0,1063.0,6.264625832092851,0.7872615348689375,0.6764049442866846
ID3110,3110,0,0.4649694561958313,1981.1131863759003,735.406680429596,0.0,109.0,109,8.0,1,,5.398190045248869,2.0,0.0,38.0,1193.0,7.330186428243795,0.923035208780056,0.7069589175202444
ID2345,2345,0,0.3990265727043152,1809.131423407656,742.1608698784298,0.0,43.0,43,8.0,1,,5.02262443438914,2.0,0.0,29.0,1110.0,6.859925416314686,0.8317228172084358,0.6649058706170463
ID2601,2601,0,0.40443530678749084,1882.0151540077559,837.8613954369615,0.0,52.0,52,8.0,1,,5.882352941176471,3.0,0.0,30.0,1300.0,6.950127917877935,0.8322423762600202,0.7688740059757766
ID2091,2091,0,0.3883715271949768,1909.3931031512336,951.265620253711,0.0,10.0,10,8.0,1,,5.027149321266968,1.0,0.0,34.0,1111.0,7.342849677213009,0.8084712744591942,0.612125007516911
ID3372,3372,0,0.4434477984905243,1887.0655102560645,685.6982927919124,0.0,134.0,134,8.0,1,,5.524886877828054,2.0,0.0,30.0,1221.0,7.674963169047531,0.8108305430376879,0.644657997051328
ID2354,2354,0,0.39854568243026733,1850.9347597852504,741.2520874629386,0.0,45.0,45,8.0,1,,5.384615384615385,2.0,0.0,29.0,1190.0,7.397268443120096,0.8110676355505868,0.6519821507950319
