LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Worm 1,0,0,146,0,0,0,0,0,145.0,0.0,145.0,277.1493382319266,1882.0494123671606,770.6043927353081,0.0,18.10408972086823,29.407095858187553,1.1042694194110656,19.927771297144535,6.937806269836737,0.39853861642210453,2625.0930095258923,433.4878351871946,0.1055769594548505,1.91137474642708,0.10557695945485045,0.6738385111663524
Worm 2,1,1,145,1,0,0,0,1,145.0,0.0,145.0,210.99904369215997,1745.6354618980713,891.5158256785712,0.0,15.653171351530535,26.81787468227715,0.4261513483918243,16.110858655230917,6.1940167786759055,0.3934221234814874,2258.569085764155,330.77435973602456,0.09342155837609521,1.4551658185666205,0.0929630032079306,0.7950062456636675
Worm 3,2,2,145,1,0,0,0,1,145.0,0.0,145.0,466.3129212832158,1499.6236153584684,871.6391747450368,0.0,17.643122968295074,24.471582966960536,1.169007324529822,18.93682371855769,4.861362926558398,0.42823297114207826,2550.2316639388796,492.84854230899816,0.18285120049171805,3.2159511812635575,0.1822778873696377,0.5209187871026051
Worm 4,3,3,61,0,0,0,0,0,60.0,0.0,60.0,363.86291869472495,1622.66748523838,1036.6523155975947,0.0,18.935639369525905,27.314652356317602,5.0385270302544125,20.36743275448903,5.083116374223868,0.393890347637114,1136.1383621715545,363.86291869472495,0.320262857773112,6.064381978245416,0.3202628577731121,0.5694248010355689
Worm 5,4,4,139,1,0,0,0,7,145.0,0.0,145.0,558.0883847638878,1704.4317826435445,833.5573222950427,0.0,17.1192392074218,30.82203979978932,1.3668253119470206,17.066966783269336,6.841492943969438,0.3826146638221878,2391.6583096059203,580.7793012393469,0.23334787520540318,3.8488854121647433,0.22482806423407617,0.7530737743402961
Worm 6,5,5,144,2,0,0,0,1,145.0,0.0,145.0,408.46191534659926,1605.691524770346,924.6601455718996,0.0,17.097266916331556,26.374660198375143,0.7984964953730964,18.79836668304249,5.838129526418961,0.3961328659206629,2471.943979554285,591.0922564304097,0.16523914729663447,2.8169787265282706,0.16476193185224547,0.664317221847714
Worm 7,6,6,146,0,0,0,0,0,145.0,0.0,145.0,286.637485500289,1595.959513181383,968.541440288591,0.0,14.601975773860232,23.461815966939053,0.3572746125169369,15.695405066348233,5.7629250507319405,0.4269633705485357,2117.2864872097334,497.4496942811346,0.13537964145703982,1.9768102448295795,0.1353796414570398,0.8579256008076317
Worm 8,7,8,145,0,0,0,0,0,144.0,1.0,145.0,302.4617318052269,1742.5934010542583,890.0758548234712,0.0,15.69992931018492,29.305532356669392,0.7886978800955093,16.473129107835696,5.864764600495646,0.40098562158387285,2260.7898206666287,402.7285828476514,0.1337858694516067,2.1004286930918536,0.13378586945160673,0.7329036286366104
Worm 9,8,10,142,1,0,0,0,1,142.0,3.0,145.0,99.9554121096934,1687.9133992619152,907.7111434550038,0.0,15.717396355598096,36.32844404343062,0.5851213274248799,16.325846631992945,5.81090592802679,0.38868680596351624,2223.615850461336,239.77534754095677,0.044951744739971856,0.7039113528851648,0.04478549353592215,0.7427839336036188
Worm 10,9,11,140,0,0,0,0,0,139.0,6.0,145.0,282.8885595642782,1610.0244322456294,851.669306923032,0.0,17.150844234509147,28.85461670008283,1.2661314786992914,18.296042888854668,6.101753324104669,0.38405623457261495,2383.967348596773,461.2306529291224,0.11866293375653372,2.0351694932681883,0.11866293375653378,0.669164422833253
